Batch,Generasi,Rute,Fitness,Jarak
1,1,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,2,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,3,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,4,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,5,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,6,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,7,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,8,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,9,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,10,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,11,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,12,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,13,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,14,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,15,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,16,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,17,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,18,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,19,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,20,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,21,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,22,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,23,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,24,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,25,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,26,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,27,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,28,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,29,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,30,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,31,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,32,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,33,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,34,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,35,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,36,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,37,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,38,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,39,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,40,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,41,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,42,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,43,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,44,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,45,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,46,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,47,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,48,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,49,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
1,50,Lembong ➝ Jalan Braga ➝ Dago ➝ Setiabudi,0.135542,7.38
2,1,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,2,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,3,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,4,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,5,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,6,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,7,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
2,8,Buah Batu ➝ Lembong ➝ Jalan Braga ➝ Cihampelas,0.182261,5.49
